Creating dir `./slack_dump_pdfs/` for slack dump PDFs
11  new PDFs loaded, skipped 0
         23862625 function calls (23302544 primitive calls) in 16.103 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._DeepIterable>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._DeepIterable>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._DeepMapping>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._InValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._InstanceOfValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._InstanceOfValidator>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._IsCallableValidator>:1(<module>)
        5    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._IsCallableValidator>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._MatchesReValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._MaxLengthValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._MinLengthValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._NotValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._NumberValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._OptionalValidator>:1(<module>)
        2    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._OptionalValidator>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._ProvidesValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._SubclassOfValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._SubclassOfValidator>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init jsonschema._types.TypeChecker>:1(<module>)
        3    0.000    0.000    0.000    0.000 <attrs generated init jsonschema._types.TypeChecker>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init jsonschema.exceptions._RefResolutionError>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init jsonschema.validators.create.<locals>.Validator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Anchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Registry>:1(<module>)
        6    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Registry>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Resolved>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Resolver>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Resource>:1(<module>)
      444    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Resource>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Retrieved>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Specification>:1(<module>)
        7    0.000    0.000    0.000    0.000 <attrs generated init referencing._core.Specification>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.exceptions.CannotDetermineSpecification>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.exceptions.InvalidAnchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.exceptions.NoInternalID>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.exceptions.NoSuchAnchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.exceptions.NoSuchResource>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.exceptions.PointerToNowhere>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.exceptions.Unresolvable>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.exceptions.Unretrievable>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.jsonschema.DynamicAnchor>:1(<module>)
        9    0.000    0.000    0.000    0.000 <attrs generated init referencing.jsonschema.DynamicAnchor>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init referencing.jsonschema.UnknownDialect>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._make.Attribute>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._make.Factory>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._make._AndValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._make._CountingAttr>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr attr._version_info.VersionInfo>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr jsonschema.exceptions._RefResolutionError>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr jsonschema.validators.create.<locals>.Validator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing._core.Anchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing._core.Resolved>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing._core.Resolver>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing._core.Resource>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing._core.Retrieved>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.exceptions.CannotDetermineSpecification>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.exceptions.InvalidAnchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.exceptions.NoInternalID>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.exceptions.NoSuchAnchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.exceptions.NoSuchResource>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.exceptions.PointerToNowhere>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.exceptions.Unresolvable>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.exceptions.Unretrievable>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.jsonschema.DynamicAnchor>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated repr referencing.jsonschema.UnknownDialect>:1(<module>)
     5994    0.013    0.000    0.016    0.000 <frozen importlib._bootstrap>:100(acquire)
  2980/29    0.016    0.000    3.614    0.125 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
3834/1395    0.008    0.000    1.923    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     5994    0.011    0.000    0.014    0.000 <frozen importlib._bootstrap>:125(release)
     2981    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:165(__init__)
     2981    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap>:169(__enter__)
     2981    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:173(__exit__)
     5994    0.015    0.000    0.023    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
